Date,Close,High,Low,Open,Volume
2015-01-02,26.35151672363281,26.662529798560367,26.26841222285612,26.50328935778615,26480000
2015-01-05,25.849414825439453,26.27388577170864,25.764322836130155,26.232085798376406,41182000
2015-01-06,25.21146583557129,25.93649794815,25.15722458076409,25.90116728970276,54456000
2015-01-07,25.137319564819336,25.452810654848868,25.06267756847128,25.425940599196498,46918000
2015-01-08,25.224903106689453,25.254261799553323,24.633230341996608,24.9561873531382,73054000
2015-01-09,24.916872024536133,25.308998280574947,24.81386603609912,25.288098294715493,42000000
2015-01-12,24.7347469329834,24.894980176137008,24.42870922148024,24.843227553129108,57138000
2015-01-13,24.970617294311523,25.30899966332893,24.74469811602012,25.00893393714728,60958000
2015-01-14,25.17613410949707,25.29208063266262,24.78948434572866,24.90194563941595,52800000
2015-01-15,25.080589294433597,25.36622242102555,24.98106474339957,25.323427756269197,51068000
2015-01-16,25.401554107666016,25.420960151086323,25.034805893360296,25.03779187656485,49658000
2015-01-20,25.37567901611328,25.65783072459475,25.347315020660428,25.5165061965885,46796000
2015-01-21,25.895694732666016,25.96834733847556,25.35826324973092,25.42046586220361,46356000
2015-01-22,26.737171173095703,26.8138044588719,25.97133376461755,26.02557312241996,56068000
2015-01-23,26.968563079833984,27.140740236112272,26.660038669867784,26.77349654790352,45966000
2015-01-26,26.70830726623535,26.94617035647382,26.476913490162577,26.94617035647382,30932000
2015-01-27,25.935503005981445,26.512245817096385,25.919081045777528,26.443573891037325,39148000
2015-01-28,25.49958610534668,26.15943148135613,25.495605426947783,26.12509552004032,35822000
2015-01-29,25.539396286010746,25.636929549212,25.054214809271286,25.52297432688357,79018000
2015-01-30,26.749610900878903,27.025790640779,25.785719120905785,25.82652439748076,121108000
2015-02-02,26.483383178710938,26.69736030362132,25.961876342465544,26.58887780034442,75378000
2015-02-03,26.538122177124023,26.74463339757869,26.215165196561703,26.37092039377398,47062000
2015-02-04,26.17983627319336,26.709801856826733,26.12658971226051,26.530160678669176,33896000
2015-02-05,26.365447998046875,26.408242664891617,26.15694358837869,26.27089881572773,33176000
2015-02-06,26.56698608398437,26.88247718732361,26.306730933478583,26.42416950169611,42938000
2015-02-09,26.33807945251465,26.5669846088324,26.251990870555165,26.42665477219473,30314000
2015-02-10,26.87948989868164,26.92128987195623,26.332605016732696,26.4808962116572,47430000
2015-02-11,26.77200508117676,26.96856557211133,26.672480517652865,26.858093667271707,38306000
2015-02-12,27.17060089111328,27.286545518362946,26.722243953387505,26.85461054187322,48590000
2015-02-13,27.4268741607666,27.49554608813204,27.19995839193065,27.24524169653322,47382000
2015-02-17,27.120838165283203,27.518437183995392,27.033754881761737,27.42687587397088,39174000
2015-02-18,27.003395080566406,27.24723013193662,26.84913383219505,27.06161700846557,31164000
2015-02-19,27.192495346069336,27.2128979859822,26.90885157410618,26.994442812572046,30834000
2015-02-20,26.961101531982425,27.24872598264451,26.776982323546072,27.24872598264451,38234000
2015-02-23,26.62271881103516,26.83669595521,26.473432916983043,26.82176793528673,32906000
2015-02-24,26.80434799194336,26.84166803717453,26.42366644612933,26.451035744814124,28406000
2015-02-25,27.236284255981445,27.34775084624529,26.772500096126645,26.79389932759879,40836000
2015-02-26,27.831439971923828,27.87323994563597,27.124817300966765,27.15716387462956,54032000
2015-02-27,27.99764442443848,28.33552943453355,27.718976042188498,27.77470933898388,68328000
2015-03-02,28.61419486999512,28.66246415538281,28.02351875753392,28.21510385652082,50406000
2015-03-03,28.80179977416992,28.90430841519517,28.389270879328592,28.68037863910688,50526000
2015-03-04,28.77890968322754,28.94312359359577,28.489791301679876,28.71123245095214,37964000
