Date,Cumulative_Return
2015-01-02,1.0
2015-01-05,1.0
2015-01-06,1.0
2015-01-07,1.0
2015-01-08,1.0
2015-01-09,1.0
2015-01-12,1.0
2015-01-13,1.0
2015-01-14,1.0
2015-01-15,1.0
2015-01-16,1.0
2015-01-20,1.0
2015-01-21,1.0
2015-01-22,1.0
2015-01-23,1.0
2015-01-26,1.0
2015-01-27,1.0
2015-01-28,1.0
2015-01-29,1.0
2015-01-30,1.0
2015-02-02,0.9994
2015-02-03,1.006149464486506
2015-02-04,1.0096309590342338
2015-02-05,1.016512246506622
2015-02-06,1.0127632631639993
2015-02-09,1.0082047479812968
2015-02-10,1.0154092177265739
2015-02-11,1.0186201217377728
2015-02-12,1.025783188040034
2015-02-13,1.0277107308653417
2015-02-17,1.0260469082716153
2015-02-18,1.0261217232331232
2015-02-19,1.035533425548067
2015-02-20,1.0428401759824462
2015-02-23,1.0381187002968029
2015-02-24,1.0361277118627497
2015-02-25,1.036524745450106
2015-02-26,1.0555053256439968
2015-02-27,1.0481725652916236
2015-03-02,1.0580540617452736
2015-03-03,1.053364023120163
2015-03-04,1.0547733442761482
2015-03-05,1.0582553493990272
2015-03-06,1.0454431272444518
2015-03-09,1.0463514970991241
2015-03-10,1.0327961064978877
2015-03-11,1.028620672224197
2015-03-12,1.0333530959665063
2015-03-13,1.0298049097093296
2015-03-16,1.0371670314416337
2015-03-17,1.0388136280437494
2015-03-18,1.0426449728787588
2015-03-19,1.047062229574281
2015-03-20,1.0516329183050208
2015-03-23,1.0502379799877029
2015-03-24,1.051272793883935
2015-03-25,1.0316512249875966
2015-03-26,1.0305775742460634
2015-03-27,1.0298995633900159
2015-03-30,1.0329560491213599
2015-03-31,1.028221526905474
2015-04-01,1.0266785943376704
2015-04-02,1.0274901755937145
2015-04-06,1.0288800657754094
2015-04-07,1.0268471058646595
2015-04-08,1.0286788966703413
2015-04-09,1.0296906074322532
2015-04-10,1.0300093784426618
2015-04-13,1.0270039750547684
2015-04-14,1.0263288871015268
2015-04-15,1.0270136251156632
2015-04-16,1.0261152142359946
2015-04-17,1.0206833800974464
2015-04-20,1.024255361818932
2015-04-21,1.0256542905335642
2015-04-22,1.0305297069610981
2015-04-23,1.0301207661881542
2015-04-24,1.0541596015000665
2015-04-27,1.0606404209640472
2015-04-28,1.0589351671986087
2015-04-29,1.0567163702177649
2015-04-30,1.0458670002863864
2015-05-01,1.0522123729065416
2015-05-04,1.052901227781319
2015-05-05,1.0450079704038093
2015-05-06,1.0407930776712617
2015-05-07,1.0482795152941473
2015-05-08,1.0519101251342973
2015-05-11,1.0500423631928983
2015-05-12,1.0513774221643013
2015-05-13,1.0508935051062351
2015-05-14,1.0546075165549549
2015-05-15,1.0544505062586522
2015-05-18,1.0565730396239799
2015-05-19,1.0544693433522103
2015-05-20,1.0538553987415424
2015-05-21,1.0576362903844163
2015-05-22,1.0585854922012665
2015-05-26,1.0544458196157922
2015-05-27,1.0630550219047534
2015-05-28,1.0645838349283574
2015-05-29,1.0663993913797107
2015-06-01,1.0674843814039656
2015-06-02,1.064947359527555
2015-06-03,1.0687769088059376
2015-06-04,1.0612029528144098
2015-06-05,1.062829888692467
2015-06-08,1.0570997080741293
2015-06-09,1.058405220930565
2015-06-10,1.0593879633198797
2015-06-11,1.0589171270274254
2015-06-12,1.0513793301875187
2015-06-15,1.0521753363000452
2015-06-16,1.0527419108599798
2015-06-17,1.0574221581319954
2015-06-18,1.0657278601163271
2015-06-19,1.0642165745300325
2015-06-22,1.06648378858103
2015-06-23,1.0727857079001628
2015-06-24,1.0678271699548796
2015-06-25,1.0679296648956014
2015-06-26,1.0658693904068202
2015-06-29,1.0566756793835599
2015-06-30,1.0590495351691047
2015-07-01,1.0616136006646277
2015-07-02,1.0663367536974715
2015-07-06,1.0658404379198032
2015-07-07,1.0631383594655002
2015-07-08,1.0512402107876244
2015-07-09,1.0511051067519055
2015-07-10,1.0597731085560405
2015-07-13,1.0723004842674566
2015-07-14,1.0776135305910135
2015-07-15,1.0747700661182056
2015-07-16,1.0850534211731038
2015-07-17,1.1133365238866646
2015-07-20,1.1236940875077794
2015-07-21,1.1170219436124724
2015-07-22,1.1082992240962797
2015-07-23,1.1005208884138018
2015-07-24,1.1071804008081298
2015-07-27,1.1019011246231378
2015-07-28,1.102941864337917
2015-07-29,1.1087274974068133
2015-07-30,1.1103109508002849
2015-07-31,1.1068577893303873
2015-08-03,1.1095763287682427
2015-08-04,1.1103180123678653
2015-08-05,1.120475788275404
2015-08-06,1.103420228243325
2015-08-07,1.1130854956022116
2015-08-10,1.1190203557091163
2015-08-11,1.1201663803938524
2015-08-12,1.122287004721219
2015-08-13,1.119939421129029
2015-08-14,1.1236352116756136
2015-08-17,1.1250675268090067
2015-08-18,1.1231835034624358
2015-08-19,1.1193911541974406
2015-08-20,1.1081020659349647
2015-08-21,1.0921141695351166
2015-08-24,1.0831238701291879
2015-08-25,1.080874978507664
2015-08-26,1.089029506196046
2015-08-27,1.0930151028638133
2015-08-28,1.092035503404775
2015-08-31,1.0873483662280925
2015-09-01,1.0770926692221614
2015-09-02,1.0803399145331218
2015-09-03,1.0805237695157248
2015-09-04,1.0754973600358955
2015-09-08,1.0752822605638883
2015-09-09,1.0739461686440617
2015-09-10,1.0750696126422632
2015-09-11,1.0778022028213605
2015-09-14,1.0791632225881533
2015-09-15,1.0818413497071773
2015-09-16,1.079630235166503
2015-09-17,1.079707167136157
2015-09-18,1.0765831514234074
2015-09-21,1.0831717383408213
2015-09-22,1.0668137088537433
